country,study_id,age_low,age_high,region,gender,n_deaths,date_start_survey,date_end_survey,matching_with_sero,cumulative,age_breakdown,gender_breakdown,for_regional_analysis,time_series,ref,notes
Switzerland,CHE1,0,999,Geneva,both,1,06/05/2020,06/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,5,07/05/2020,07/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,08/05/2020,08/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,09/05/2020,09/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,2,10/05/2020,10/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,11/05/2020,11/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,12/05/2020,12/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,13/05/2020,13/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,14/05/2020,14/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,15/05/2020,15/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,16/05/2020,16/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,17/05/2020,17/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,18/05/2020,18/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,19/05/2020,19/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,20/05/2020,20/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,21/05/2020,21/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,22/05/2020,22/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,23/05/2020,23/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,24/05/2020,24/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,25/05/2020,25/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
United Kingdom,GBR1,0,999,Scotland,both,1,14/03/2020,14/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,0,15/03/2020,15/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,0,16/03/2020,16/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,1,17/03/2020,17/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,1,18/03/2020,18/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,3,19/03/2020,19/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,0,20/03/2020,20/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,1,21/03/2020,21/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,3,22/03/2020,22/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,4,23/03/2020,23/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,2,24/03/2020,24/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,6,25/03/2020,25/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,3,26/03/2020,26/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,8,27/03/2020,27/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,7,28/03/2020,28/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,1,29/03/2020,29/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
