Region,State,Age_Group,Sex,Population
Central-West,MS,65-70,M,42776
Central-West,MS,70-75,M,29587
Central-West,MS,75-80,M,19600
Central-West,MS,80-85,M,12480
Central-West,MS,85-90,M,6292
Central-West,MS,90+,M,3438
Central-West,MS,0-5,F,107071
Central-West,MS,5-10,F,105511
Central-West,MS,10-15,F,99186
Central-West,MS,15-20,F,101276
Central-West,MS,20-25,F,110382
Central-West,MS,25-30,F,113865
Central-West,MS,30-35,F,111444
Central-West,MS,35-40,F,111864
Central-West,MS,40-45,F,102843
Central-West,MS,45-50,F,92294
Central-West,MS,50-55,F,84886
Central-West,MS,55-60,F,77222
Central-West,MS,60-65,F,62249
Central-West,MS,65-70,F,48036
Central-West,MS,70-75,F,34557
Central-West,MS,75-80,F,24104
Central-West,MS,80-85,F,15549
Central-West,MS,85-90,F,8252
Central-West,MS,90+,F,4993
Central-West,MT,0-5,M,144709
Central-West,MT,5-10,M,137409
Central-West,MT,10-15,M,136322
Central-West,MT,15-20,M,136961
Central-West,MT,20-25,M,146188
Central-West,MT,25-30,M,149015
Central-West,MT,30-35,M,151019
Central-West,MT,35-40,M,146827
Central-West,MT,40-45,M,133471
Central-West,MT,45-50,M,116271
Central-West,MT,50-55,M,104168
Central-West,MT,55-60,M,88823
Central-West,MT,60-65,M,69359
Central-West,MT,65-70,M,49974
Central-West,MT,70-75,M,33623
Central-West,MT,75-80,M,21292
Central-West,MT,80-85,M,12511
Central-West,MT,85-90,M,5902
Central-West,MT,90+,M,3133
Central-West,MT,0-5,F,138421
Central-West,MT,5-10,F,131929
Central-West,MT,10-15,F,131081
Central-West,MT,15-20,F,131744
Central-West,MT,20-25,F,139827
Central-West,MT,25-30,F,144384
Central-West,MT,30-35,F,144724
Central-West,MT,35-40,F,141970
Central-West,MT,40-45,F,132077
Central-West,MT,45-50,F,115814
Central-West,MT,50-55,F,102597
Central-West,MT,55-60,F,86653
Central-West,MT,60-65,F,67912
Central-West,MT,65-70,F,49723
Central-West,MT,70-75,F,34236
Central-West,MT,75-80,F,22192
Central-West,MT,80-85,F,13574
Central-West,MT,85-90,F,6550
Central-West,MT,90+,F,3835
Central-West,GO,0-5,M,263313
Central-West,GO,5-10,M,264962
Central-West,GO,10-15,M,252541
Central-West,GO,15-20,M,264587
Central-West,GO,20-25,M,290627
Central-West,GO,25-30,M,297480
Central-West,GO,30-35,M,306630
Central-West,GO,35-40,M,294739
Central-West,GO,40-45,M,270821
Central-West,GO,45-50,M,234750
Central-West,GO,50-55,M,208733
Central-West,GO,55-60,M,173846
Central-West,GO,60-65,M,136188
Central-West,GO,65-70,M,101375
Central-West,GO,70-75,M,71738
Central-West,GO,75-80,M,46715
Central-West,GO,80-85,M,28233
Central-West,GO,85-90,M,13423
Central-West,GO,90+,M,7171
Central-West,GO,0-5,F,252012
Central-West,GO,5-10,F,254480
Central-West,GO,10-15,F,242481
Central-West,GO,15-20,F,255582
Central-West,GO,20-25,F,284906
Central-West,GO,25-30,F,295305
Central-West,GO,30-35,F,301927
Central-West,GO,35-40,F,296964
Central-West,GO,40-45,F,279953
Central-West,GO,45-50,F,246741
Central-West,GO,50-55,F,221423
Central-West,GO,55-60,F,188322
Central-West,GO,60-65,F,151504
Central-West,GO,65-70,F,116263
Central-West,GO,70-75,F,82669
Central-West,GO,75-80,F,55072
Central-West,GO,80-85,F,35225
Central-West,GO,85-90,F,17735
Central-West,GO,90+,F,9707
Central-West,DF,0-5,M,105591
Central-West,DF,5-10,M,97040
Central-West,DF,10-15,M,105726
Central-West,DF,15-20,M,121287
Central-West,DF,20-25,M,126538
Central-West,DF,25-30,M,124501
Central-West,DF,30-35,M,130070
Central-West,DF,35-40,M,132511
Central-West,DF,40-45,M,121276
Central-West,DF,45-50,M,100537
Central-West,DF,50-55,M,86866
Central-West,DF,55-60,M,68866
Central-West,DF,60-65,M,51258
Central-West,DF,65-70,M,37868
Central-West,DF,70-75,M,25562
Central-West,DF,75-80,M,15664
Central-West,DF,80-85,M,9706
Central-West,DF,85-90,M,4105
Central-West,DF,90+,M,1803
Central-West,DF,0-5,F,100329
Central-West,DF,5-10,F,91892
Central-West,DF,10-15,F,101287
Central-West,DF,15-20,F,118022
Central-West,DF,20-25,F,126328
Central-West,DF,25-30,F,129515
Central-West,DF,30-35,F,136814
Central-West,DF,35-40,F,147312
Central-West,DF,40-45,F,137800
Central-West,DF,45-50,F,114163
Central-West,DF,50-55,F,98898
Central-West,DF,55-60,F,83156
Central-West,DF,60-65,F,65073
Central-West,DF,65-70,F,49890
Central-West,DF,70-75,F,35620
Central-West,DF,75-80,F,22931
Central-West,DF,80-85,F,14999
Central-West,DF,85-90,F,7463
Central-West,DF,90+,F,4279
